run_id	date	variant	task_id	critical_thinking	first_principles	kiss	incrementalism	testability	optimization_engine	task_success	clarity	groundedness	total	notes
exp-001	2026-03-12	agent-md-v1	task-001	4	4	4	4	4	4	5	4	5	38	Explicit routing now more strongly forces workspace context before business advice.
exp-001	2026-03-12	agent-md-v1	task-002	4	4	4	4	3	3	5	4	5	36	Reply drafting is better grounded because `_agent` context lookup is now explicit.
exp-001	2026-03-12	agent-md-v1	task-003	4	5	4	4	4	3	4	4	4	36	No material change.
exp-001	2026-03-12	agent-md-v1	task-004	4	4	5	5	4	3	5	5	4	39	No material change.
exp-001	2026-03-12	agent-md-v1	task-005	4	4	4	4	4	3	4	4	4	35	No material change.
exp-001	2026-03-12	agent-md-v1	task-006	3	3	4	3	2	2	4	4	4	29	No material change.
exp-001	2026-03-12	agent-md-v1	task-007	4	4	4	4	3	4	5	4	5	37	Prioritization is now more likely to consult current workspace context before generic ranking.
exp-001	2026-03-12	agent-md-v1	task-008	4	4	4	5	3	5	4	4	4	37	No material change.
exp-001	2026-03-12	agent-md-v1	task-009	4	4	4	4	5	4	4	4	4	37	No material change.
exp-001	2026-03-12	agent-md-v1	task-010	4	4	4	5	4	5	4	4	4	38	No material change.
