run_id	date	variant	task_id	critical_thinking	first_principles	kiss	incrementalism	testability	optimization_engine	task_success	clarity	groundedness	total	notes
exp-007	2026-03-12	agent-md-v4	task-001	5	4	4	4	4	3	5	4	5	38	No material change from exp-006.
exp-007	2026-03-12	agent-md-v4	task-002	4	4	4	4	4	3	5	4	5	37	No material change.
exp-007	2026-03-12	agent-md-v4	task-003	5	5	4	5	4	3	4	4	4	38	No material change.
exp-007	2026-03-12	agent-md-v4	task-004	5	4	4	4	5	3	5	4	5	39	Explicit local-exception rule improves exception handling and testability.
exp-007	2026-03-12	agent-md-v4	task-005	4	4	4	4	4	4	4	4	4	36	No material change.
exp-007	2026-03-12	agent-md-v4	task-006	4	4	5	5	4	5	5	4	4	40	No material change.
exp-007	2026-03-12	agent-md-v4	task-007	4	4	5	4	4	4	5	5	5	40	No material change.
exp-007	2026-03-12	agent-md-v4	task-008	4	4	4	5	5	4	5	4	4	39	No material change.
exp-007	2026-03-12	agent-md-v4	task-009	4	4	5	4	3	3	4	5	4	36	No material change.
exp-007	2026-03-12	agent-md-v4	task-010	4	4	5	5	4	5	5	4	4	40	No material change.
