run_id	date	variant	task_id	critical_thinking	first_principles	kiss	incrementalism	testability	optimization_engine	task_success	clarity	groundedness	total	notes
exp-006	2026-03-12	agent-md-v3	task-001	5	4	4	4	4	3	5	4	5	38	Explicit local-vs-global conflict rule materially improves grounding and conflict handling.
exp-006	2026-03-12	agent-md-v3	task-002	4	4	4	4	4	3	5	4	5	37	Scope selection is cleaner because local/current context now wins explicitly when relevant.
exp-006	2026-03-12	agent-md-v3	task-003	5	5	4	5	4	3	4	4	4	38	No material change.
exp-006	2026-03-12	agent-md-v3	task-004	5	4	4	4	4	3	5	4	5	38	Local exception handling improves because the agent now has an explicit locality rule.
exp-006	2026-03-12	agent-md-v3	task-005	4	4	4	4	4	4	4	4	4	36	No material change.
exp-006	2026-03-12	agent-md-v3	task-006	4	4	5	5	4	5	5	4	4	40	No material change.
exp-006	2026-03-12	agent-md-v3	task-007	4	4	5	4	4	4	5	5	5	40	No material change.
exp-006	2026-03-12	agent-md-v3	task-008	4	4	4	5	5	4	5	4	4	39	No material change.
exp-006	2026-03-12	agent-md-v3	task-009	4	4	5	4	3	3	4	5	4	36	No material change.
exp-006	2026-03-12	agent-md-v3	task-010	4	4	5	5	4	5	5	4	4	40	No material change.
